2026-01-03 10:27:37 - api - ERROR - logging_config.py:278 - API访问 - IP: testclient, 用户: unknown, 方法: POST, 路径: /api/inference/text/generation, 状态码: 500, 耗时: 0.003s
2026-01-03 11:58:32 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/ai-control/master-control, 状态码: 500, 耗时: 0.007s
2026-01-03 11:58:42 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/ai-control/master-control, 状态码: 500, 耗时: 0.006s
2026-01-03 11:58:49 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/ai-control/master-control, 状态码: 500, 耗时: 0.009s
2026-01-03 12:11:17 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/ai-control/master-control, 状态码: 500, 耗时: 0.006s
2026-01-03 12:11:25 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/ai-control/master-control, 状态码: 500, 耗时: 0.007s
2026-01-03 12:11:36 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/ai-control/master-control, 状态码: 500, 耗时: 0.006s
2026-01-03 12:11:45 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/ai-control/master-control, 状态码: 500, 耗时: 0.012s
2026-01-03 12:45:19 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/models/agriculture_model_v1/start, 状态码: 500, 耗时: 0.012s
2026-01-03 12:45:21 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/models/agriculture_model_v1/start, 状态码: 500, 耗时: 0.004s
2026-01-03 12:45:22 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/models/crop_vision_v2/start, 状态码: 500, 耗时: 0.004s
2026-01-03 12:45:24 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/weather_prediction_v3, 状态码: 500, 耗时: 0.007s
2026-01-03 12:45:25 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/weather_prediction_v3/versions, 状态码: 500, 耗时: 0.003s
2026-01-03 12:45:26 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/weather_prediction_v3, 状态码: 500, 耗时: 0.005s
2026-01-03 12:45:26 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/weather_prediction_v3/versions, 状态码: 500, 耗时: 0.003s
2026-01-03 12:45:27 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/weather_prediction_v3, 状态码: 500, 耗时: 0.005s
2026-01-03 12:45:28 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/weather_prediction_v3, 状态码: 500, 耗时: 0.007s
2026-01-03 12:49:53 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/models/agriculture_model_v1/start, 状态码: 500, 耗时: 0.004s
2026-01-03 13:33:29 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/models/agriculture_model_v1/start, 状态码: 500, 耗时: 0.003s
2026-01-03 14:37:52 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/models/agriculture_model_v1/start, 状态码: 500, 耗时: 0.004s
2026-01-03 14:37:54 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/models/crop_vision_v2/start, 状态码: 500, 耗时: 0.006s
2026-01-03 14:37:55 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/models/crop_vision_v2/start, 状态码: 500, 耗时: 0.004s
2026-01-03 14:37:57 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/models/weather_prediction_v3/start, 状态码: 500, 耗时: 0.030s
2026-01-03 14:39:10 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/agriculture_model_v1, 状态码: 500, 耗时: 0.007s
2026-01-03 14:39:10 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/agriculture_model_v1/versions, 状态码: 500, 耗时: 0.005s
2026-01-03 14:39:11 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/agriculture_model_v1, 状态码: 500, 耗时: 0.004s
2026-01-03 14:39:11 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/agriculture_model_v1/versions, 状态码: 500, 耗时: 0.004s
2026-01-03 20:40:15 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/models/agriculture_model_v1/start, 状态码: 500, 耗时: 0.003s
2026-01-03 20:40:22 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/models/agriculture_model_v1/start, 状态码: 500, 耗时: 0.003s
2026-01-03 20:40:24 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/models/crop_vision_v2/start, 状态码: 500, 耗时: 0.003s
2026-01-03 20:40:26 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/models/weather_prediction_v3/start, 状态码: 500, 耗时: 0.003s
2026-01-03 20:40:37 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444031_ful, 状态码: 500, 耗时: 0.084s
2026-01-03 20:40:38 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: POST, 路径: /api/models/agriculture_model_v1/versions, 状态码: 500, 耗时: 0.006s
2026-01-03 20:40:52 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444041_ful, 状态码: 500, 耗时: 0.004s
